"source","translation_en_US"
"Idle","Idle"
"Standing by and awaiting orders.","Standing by and awaiting orders."
"Moving","Moving"
"Marching to the ordered position.","Marching to the ordered position."
"Attacking","Attacking"
"Engaging the assigned target.","Engaging the assigned target."
"Patrolling","Patrolling"
"Walking the patrol route between its waypoints.","Walking the patrol route between its waypoints."
"Guarding","Guarding"
"Holding a guard post and answering threats near it.","Holding a guard post and answering threats near it."
"Holding position","Holding position"
"Rooted in place; it will not pursue.","Rooted in place; it will not pursue."
"Building","Building"
"Raising a structure on the marked site.","Raising a structure on the marked site."
"Repairing","Repairing"
"Mending a damaged structure.","Mending a damaged structure."
"Dismantling","Dismantling"
"Taking a structure apart.","Taking a structure apart."
"Cutting timber","Cutting timber"
"Felling a tree for wood.","Felling a tree for wood."
"Quarrying stone","Quarrying stone"
"Breaking a boulder for stone.","Breaking a boulder for stone."
"Mining iron","Mining iron"
"Working an ore deposit for iron.","Working an ore deposit for iron."
"Auto gathering","Auto gathering"
"Standing order: seek out the nearest resource and keep collecting.","Standing order: seek out the nearest resource and keep collecting."
"Delivering","Delivering"
"Healing","Healing"
"Tending wounded allies nearby.","Tending wounded allies nearby."
"Training","Training"
"Producing the next unit in the queue.","Producing the next unit in the queue."
"Blocked","Blocked"
"Waiting: the way is blocked or the target is gone.","Waiting: the way is blocked or the target is gone."
"Active","Active"
"Work is under way.","Work is under way."
"Queued","Queued"
"Ordered, but the unit is still on its way.","Ordered, but the unit is still on its way."
"Unavailable","Unavailable"
"The target cannot be worked; give a new order.","The target cannot be worked; give a new order."
"Interrupted","Interrupted"
"Work stopped part-way; re-issue the order to resume.","Work stopped part-way; re-issue the order to resume."
"%1 — %2","%1 — %2"
"%1 (%2 units)","%1 (%2 units)"
"Harvesting grain","Harvesting grain"
"Reaping a ripe farm for food.","Reaping a ripe farm for food."
"Butchering","Butchering"
"Slaughtering a sheep for food.","Slaughtering a sheep for food."
"Carrying its load to the barracks; it cannot be interrupted until the load is dropped off.","Carrying its load to the barracks; it cannot be interrupted until the load is dropped off."
"Cannot be interrupted","Cannot be interrupted"
"Hauling a load to the barracks. New orders wait until the load is dropped off.","Hauling a load to the barracks. New orders wait until the load is dropped off."
"Automatic","Automatic"
"%1 of %2 positions do not fit on this ground.","%1 of %2 positions do not fit on this ground."
"Barracks production queue","Barracks production queue"
"BARRACKS","BARRACKS"
"Reserve %1 / %2","Reserve %1 / %2"
"Recruiting now","Recruiting now"
"Queued unit %1","Queued unit %1"
"Set where newly recruited units will gather","Set where newly recruited units will gather"
"Set barracks rally point","Set barracks rally point"
"Select a barracks before setting a rally point","Select a barracks before setting a rally point"
"RECRUIT UNITS","RECRUIT UNITS"
"Scroll for more","Scroll for more"
"Manpower this barracks still holds. Every recruit spends some; civilians raised at a Home deliver more.","Manpower this barracks still holds. Every recruit spends some; civilians raised at a Home deliver more."
"Return to Menu","Return to Menu"
"Close Report","Close Report"
"Kills","Kills"
"Losses","Losses"
"Trained","Trained"
"Barracks","Barracks"
"Held the Field","Held the Field"
"Routed","Routed"
"YOUR COMMAND","YOUR COMMAND"
"ARMIES OF THE FIELD","ARMIES OF THE FIELD"
"Score","Score"
"Army","Army"
"YOU","YOU"
"Esc closes the report","Esc closes the report"
"Victory Conditions — complete all","Victory Conditions — complete all"
"Victory Conditions — complete any","Victory Conditions — complete any"
"Victory Conditions","Victory Conditions"
"Complete the objective","Complete the objective"
"Defeat Conditions","Defeat Conditions"
"Avoid this condition","Avoid this condition"
"Optional Objectives","Optional Objectives"
"Optional objective","Optional objective"
"No mission objectives available.\nThis may be a skirmish, or objectives have not been configured.","No mission objectives available.\nThis may be a skirmish, or objectives have not been configured."
"Mission Steps — in order","Mission Steps — in order"
"Next step","Next step"
"%1 of %2","%1 of %2"
"unbound","unbound"
"on, %1 px","on, %1 px"
"off","off"
"Screen edge","Screen edge"
"Edge scroll","Edge scroll"
"Cursor to a screen edge","Cursor to a screen edge"
"Push the pointer into any edge of the screen and the camera follows. Turn it off or change how wide the band is under Settings › Accessibility.","Push the pointer into any edge of the screen and the camera follows. Turn it off or change how wide the band is under Settings › Accessibility."
"Keyboard pan","Keyboard pan"
"Middle-drag","Middle-drag"
"Drag pan","Drag pan"
"Hold middle button and drag","Hold middle button and drag"
