"source","translation_ru_RU"
"Idle","Простой"
"Standing by and awaiting orders.","Стоит наготове и ждёт приказов."
"Moving","Движение"
"Marching to the ordered position.","Марширует к указанной позиции."
"Attacking","Атака"
"Engaging the assigned target.","Атакует назначенную цель."
"Patrolling","Патрулирование"
"Walking the patrol route between its waypoints.","Обходит маршрут патруля между точками."
"Guarding","Охрана"
"Holding a guard post and answering threats near it.","Держит пост и отвечает на угрозы поблизости."
"Holding position","Удерживает позицию"
"Rooted in place; it will not pursue.","Врос в землю: преследовать не будет."
"Building","Строительство"
"Raising a structure on the marked site.","Возводит постройку на отмеченной площадке."
"Repairing","Ремонт"
"Mending a damaged structure.","Чинит повреждённую постройку."
"Dismantling","Разбор"
"Taking a structure apart.","Разбирает постройку."
"Cutting timber","Рубка леса"
"Felling a tree for wood.","Валит дерево ради древесины."
"Quarrying stone","Добыча камня"
"Breaking a boulder for stone.","Дробит валун ради камня."
"Mining iron","Добыча железа"
"Working an ore deposit for iron.","Разрабатывает залежь руды ради железа."
"Harvesting grain","Сбор зерна"
"Reaping a ripe farm for food.","Жнёт созревшее поле ради еды."
"Butchering","Забой скота"
"Slaughtering a sheep for food.","Забивает овцу ради еды."
"Auto gathering","Автосбор"
"Standing order: seek out the nearest resource and keep collecting.","Постоянный приказ: искать ближайший ресурс и собирать без остановки."
"Delivering","Доставка"
"Carrying its load to the barracks; it cannot be interrupted until the load is dropped off.","Несёт груз в казармы; прервать нельзя, пока груз не сдан."
"Healing","Лечение"
"Tending wounded allies nearby.","Лечит раненых союзников поблизости."
"Training","Обучение"
"Producing the next unit in the queue.","Готовит следующую единицу из очереди."
"Blocked","Заблокирован"
"Waiting: the way is blocked or the target is gone.","Ждёт: путь перекрыт или цель исчезла."
"Active","Активно"
"Work is under way.","Работа идёт."
"Queued","В очереди"
"Ordered, but the unit is still on its way.","Приказ отдан, но отряд ещё в пути."
"Unavailable","Недоступно"
"The target cannot be worked; give a new order.","С этой целью работать нельзя; отдайте новый приказ."
"Interrupted","Прервано"
"Work stopped part-way; re-issue the order to resume.","Работа брошена на полпути; отдайте приказ снова, чтобы продолжить."
"Cannot be interrupted","Прервать нельзя"
"Hauling a load to the barracks. New orders wait until the load is dropped off.","Везёт груз в казармы. Новые приказы подождут, пока груз не сдан."
"%1 — %2","%1 — %2"
"%1 (%2 units)","%1 (отрядов: %2)"
"Automatic","Автоматически"
"%1 of %2 positions do not fit on this ground.","%1 из %2 позиций не помещается на этой местности."
"Barracks production queue","Очередь найма в казармах"
"BARRACKS","КАЗАРМЫ"
"Reserve %1 / %2","Резерв %1 / %2"
"Manpower this barracks still holds. Every recruit spends some; civilians raised at a Home deliver more.","Запас людей, который ещё держат эти казармы. Каждый новобранец его тратит; гражданские, выращенные в Доме, приносят новых."
"Recruiting now","Идёт набор"
"Queued unit %1","Отряд в очереди: %1"
"Set where newly recruited units will gather","Укажите, где будут собираться новобранцы"
"Set barracks rally point","Задать точку сбора казарм"
"Select a barracks before setting a rally point","Выберите казармы, прежде чем задавать точку сбора"
"Return to Menu","Вернуться в меню"
"Close Report","Закрыть отчёт"
"Kills","Убито"
"Losses","Потери"
"Trained","Обучено"
"Barracks","Казармы"
"Held the Field","Удержал поле"
"Routed","Разгромлен"
"Score","Счёт"
"YOUR COMMAND","ВАШЕ КОМАНДОВАНИЕ"
"ARMIES OF THE FIELD","АРМИИ НА ПОЛЕ БОЯ"
"Army","Армия"
"YOU","ВЫ"
"Esc closes the report","Esc закрывает отчёт"
"Mission Steps — in order","Шаги задания — по порядку"
"Victory Conditions","Условия победы"
"Victory Conditions — complete all","Условия победы — выполните все"
"Victory Conditions — complete any","Условия победы — выполните любое"
"Next step","Следующий шаг"
"%1 of %2","%1 из %2"
"Complete the objective","Выполните задачу"
"Defeat Conditions","Условия поражения"
"Avoid this condition","Не допускайте этого"
"Optional Objectives","Дополнительные задачи"
"Optional objective","Дополнительная задача"
"No mission objectives available.\nThis may be a skirmish, or objectives have not been configured.","Задачи не заданы.\nЭто либо стычка, либо задачи не были настроены."
"unbound","не назначено"
"%1 or %2","%1 или %2"
"on, %1 px","вкл., %1 пикс."
"off","выкл."
"Screen edge","Край экрана"
"Edge scroll","Прокрутка у края"
"Cursor to a screen edge","Курсор к краю экрана"
"Push the pointer into any edge of the screen and the camera follows. Turn it off or change how wide the band is under Settings › Accessibility.","Подведите указатель к любому краю экрана, и камера пойдёт следом. Отключить или изменить ширину полосы можно в Настройках › Доступность."
"Keyboard pan","Сдвиг с клавиатуры"
