"source","translation_pl_PL"
"Idle","Bezczynny"
"Standing by and awaiting orders.","W gotowości, czeka na rozkazy."
"Moving","W ruchu"
"Marching to the ordered position.","Maszeruje na wyznaczoną pozycję."
"Attacking","Atakuje"
"Engaging the assigned target.","Naciera na wyznaczony cel."
"Patrolling","Patroluje"
"Walking the patrol route between its waypoints.","Obchodzi trasę patrolu między punktami."
"Guarding","Strzeże"
"Holding a guard post and answering threats near it.","Trzyma posterunek i odpowiada na zagrożenia w pobliżu."
"Holding position","Trzyma pozycję"
"Rooted in place; it will not pursue.","Zakorzeniony w miejscu; nie ruszy w pościg."
"Building","Buduje"
"Raising a structure on the marked site.","Wznosi budowlę na oznaczonym placu."
"Repairing","Naprawia"
"Mending a damaged structure.","Naprawia uszkodzoną budowlę."
"Dismantling","Rozbiera"
"Taking a structure apart.","Rozbiera budowlę na części."
"Cutting timber","Ścina drewno"
"Felling a tree for wood.","Ścina drzewo na drewno."
"Quarrying stone","Łamie kamień"
"Breaking a boulder for stone.","Rozbija głaz na kamień."
"Mining iron","Wydobywa żelazo"
"Working an ore deposit for iron.","Pracuje przy złożu rudy, wydobywając żelazo."
"Harvesting grain","Zbiera zboże"
"Reaping a ripe farm for food.","Zżyna dojrzałe pole na żywność."
"Butchering","Ubija zwierzęta"
"Slaughtering a sheep for food.","Ubija owcę na żywność."
"Auto gathering","Zbiera automatycznie"
"Standing order: seek out the nearest resource and keep collecting.","Rozkaz stały: znajdź najbliższy surowiec i zbieraj bez przerwy."
"Delivering","Dostarcza"
"Carrying its load to the barracks; it cannot be interrupted until the load is dropped off.","Niesie ładunek do koszar; nie można mu przerwać, dopóki go nie odda."
"Healing","Leczy"
"Tending wounded allies nearby.","Opatruje rannych sojuszników w pobliżu."
"Training","Szkolenie"
"Producing the next unit in the queue.","Wytwarza kolejną jednostkę z kolejki."
"Blocked","Zablokowany"
"Waiting: the way is blocked or the target is gone.","Czeka: droga jest zablokowana albo cel zniknął."
"Active","Aktywne"
"Work is under way.","Praca trwa."
"Queued","W kolejce"
"Ordered, but the unit is still on its way.","Rozkaz wydany, ale jednostka jest jeszcze w drodze."
"Unavailable","Niedostępne"
"The target cannot be worked; give a new order.","Przy tym celu nie da się pracować; wydaj nowy rozkaz."
"Interrupted","Przerwane"
"Work stopped part-way; re-issue the order to resume.","Praca przerwana w połowie; wydaj rozkaz ponownie, aby ją wznowić."
"Cannot be interrupted","Nie można przerwać"
"Hauling a load to the barracks. New orders wait until the load is dropped off.","Wiezie ładunek do koszar. Nowe rozkazy poczekają, aż go odda."
"%1 — %2","%1 — %2"
"%1 (%2 units)","%1 (jednostki: %2)"
"Automatic","Automatycznie"
"%1 of %2 positions do not fit on this ground.","%1 z %2 pozycji nie mieści się na tym terenie."
"Barracks production queue","Kolejka produkcji koszar"
"BARRACKS","KOSZARY"
"Reserve %1 / %2","Rezerwa %1 / %2"
"Manpower this barracks still holds. Every recruit spends some; civilians raised at a Home deliver more.","Zapas ludzi, jaki wciąż mają te koszary. Każdy rekrut go zużywa; cywile wychowani w Domu dostarczają nowych."
"Recruiting now","Rekrutacja w toku"
"Queued unit %1","Jednostka w kolejce: %1"
"Set where newly recruited units will gather","Wyznacz miejsce zbiórki nowo rekrutowanych jednostek"
"Set barracks rally point","Wyznacz punkt zbiórki koszar"
"Select a barracks before setting a rally point","Zaznacz koszary, zanim wyznaczysz punkt zbiórki"
"RECRUIT UNITS","REKRUTUJ JEDNOSTKI"
"Scroll for more","Przewiń, by zobaczyć więcej"
"Return to Menu","Powrót do menu"
"Close Report","Zamknij raport"
"Kills","Zabici wrogowie"
"Losses","Straty"
"Trained","Wyszkoleni"
"Barracks","Koszary"
"Held the Field","Utrzymał pole"
"Routed","Rozbity"
"Score","Wynik"
"YOUR COMMAND","TWOJE DOWÓDZTWO"
"ARMIES OF THE FIELD","ARMIE NA POLU BITWY"
"Army","Armia"
"YOU","TY"
"Esc closes the report","Esc zamyka raport"
"Mission Steps — in order","Kroki misji — po kolei"
"Victory Conditions","Warunki zwycięstwa"
"Victory Conditions — complete all","Warunki zwycięstwa — spełnij wszystkie"
"Victory Conditions — complete any","Warunki zwycięstwa — spełnij dowolny"
"Next step","Następny krok"
"%1 of %2","%1 z %2"
"Complete the objective","Wykonaj cel"
"Defeat Conditions","Warunki porażki"
"Avoid this condition","Nie dopuść do tego"
"Optional Objectives","Cele opcjonalne"
"Optional objective","Cel opcjonalny"
"No mission objectives available.\nThis may be a skirmish, or objectives have not been configured.","Brak celów misji.\nTo może być potyczka albo cele nie zostały skonfigurowane."
"unbound","nieprzypisane"
"%1 or %2","%1 lub %2"
"on, %1 px","wł., %1 px"
"off","wył."
"Screen edge","Krawędź ekranu"
"Edge scroll","Przewijanie przy krawędzi"
"Cursor to a screen edge","Kursor na krawędź ekranu"
"Push the pointer into any edge of the screen and the camera follows. Turn it off or change how wide the band is under Settings › Accessibility.","Dosuń wskaźnik do dowolnej krawędzi ekranu, a kamera podąży za nim. Wyłącz to lub zmień szerokość pasa w Ustawieniach › Ułatwienia dostępu."
"Keyboard pan","Ruch klawiaturą"
