"source","translation_es_ES"
"Idle","Inactivo"
"Standing by and awaiting orders.","A la espera de órdenes."
"Moving","En marcha"
"Marching to the ordered position.","Marchando a la posición ordenada."
"Attacking","Atacando"
"Engaging the assigned target.","Entablando combate con el objetivo asignado."
"Patrolling","Patrullando"
"Walking the patrol route between its waypoints.","Recorriendo la ruta de patrulla entre sus puntos."
"Guarding","Protegiendo"
"Holding a guard post and answering threats near it.","Mantiene un puesto de guardia y responde a las amenazas cercanas."
"Holding position","Manteniendo la posición"
"Rooted in place; it will not pursue.","Firme en su sitio; no perseguirá."
"Building","Construyendo"
"Raising a structure on the marked site.","Levantando una estructura en el lugar marcado."
"Repairing","Reparando"
"Mending a damaged structure.","Reparando una estructura dañada."
"Dismantling","Desmantelando"
"Taking a structure apart.","Desmontando una estructura."
"Cutting timber","Talando madera"
"Felling a tree for wood.","Derribando un árbol para obtener madera."
"Quarrying stone","Extrayendo piedra"
"Breaking a boulder for stone.","Partiendo una roca para obtener piedra."
"Mining iron","Extrayendo hierro"
"Working an ore deposit for iron.","Explotando un yacimiento para obtener hierro."
"Auto gathering","Recolección automática"
"Standing order: seek out the nearest resource and keep collecting.","Orden permanente: buscar el recurso más cercano y seguir recolectando."
"Delivering","Entregando"
"Carrying its load to the barracks.","Llevando su carga al cuartel."
"Healing","Curando"
"Tending wounded allies nearby.","Atendiendo a los aliados heridos cercanos."
"Training","Adiestrando"
"Producing the next unit in the queue.","Produciendo la siguiente unidad de la cola."
"Blocked","Bloqueado"
"Waiting: the way is blocked or the target is gone.","Esperando: el paso está bloqueado o el objetivo ha desaparecido."
"Active","Activo"
"Work is under way.","El trabajo está en marcha."
"Queued","En cola"
"Ordered, but the unit is still on its way.","Ordenado, pero la unidad aún está en camino."
"Unavailable","No disponible"
"The target cannot be worked; give a new order.","El objetivo no se puede trabajar; da una nueva orden."
"Interrupted","Interrumpido"
"Work stopped part-way; re-issue the order to resume.","El trabajo se detuvo a medias; repite la orden para reanudarlo."
"%1 — %2","%1 — %2"
"%1 (%2 units)","%1 (%2 unidades)"
"Harvesting grain","Cosechando grano"
"Reaping a ripe farm for food.","Siega una granja madura para obtener comida."
"Butchering","Sacrificando"
"Slaughtering a sheep for food.","Sacrifica una oveja para obtener comida."
"Automatic","Automático"
"%1 of %2 positions do not fit on this ground.","%1 de %2 posiciones no caben en este terreno."
"Return to Menu","Volver al menú"
"Close Report","Cerrar informe"
"Kills","Bajas causadas"
"Losses","Bajas propias"
"Trained","Adiestradas"
"Villages","Aldeas"
"Held the Field","Campo mantenido"
"Routed","Derrotado"
"YOUR COMMAND","TU MANDO"
"ARMIES OF THE FIELD","EJÉRCITOS DEL CAMPO"
"Score","Puntuación"
"Army","Ejército"
"YOU","TÚ"
"Esc closes the report","Esc cierra el informe"
"Victory Conditions — complete all","Condiciones de victoria — cúmplelas todas"
"Victory Conditions — complete any","Condiciones de victoria — cumple cualquiera"
"Victory Conditions","Condiciones de victoria"
"Complete the objective","Completa el objetivo"
"Defeat Conditions","Condiciones de derrota"
"Avoid this condition","Evita esta condición"
"Optional Objectives","Objetivos opcionales"
"Optional objective","Objetivo opcional"
"No mission objectives available.\nThis may be a skirmish, or objectives have not been configured.","No hay objetivos de misión disponibles.\nPuede tratarse de una escaramuza, o los objetivos no se han configurado."
"Mission Steps — in order","Pasos de la misión — en orden"
"Next step","Siguiente paso"
"%1 of %2","%1 de %2"
"unbound","sin asignar"
"on, %1 px","activado, %1 px"
"off","desactivado"
"Screen edge","Borde de pantalla"
"Edge scroll","Desplazamiento por el borde"
"Cursor to a screen edge","Lleva el cursor a un borde"
