"source","translation_tr_TR"
"Idle","Beklemede"
"Standing by and awaiting orders.","Emir bekleyerek hazırda duruyor."
"Moving","Hareket ediyor"
"Marching to the ordered position.","Verilen mevziye yürüyor."
"Attacking","Saldırıyor"
"Engaging the assigned target.","Belirlenen hedefle çarpışıyor."
"Patrolling","Devriye geziyor"
"Walking the patrol route between its waypoints.","Ara noktaları arasındaki devriye yolunu yürüyor."
"Guarding","Nöbette"
"Holding a guard post and answering threats near it.","Bir nöbet noktasını tutuyor ve yakınındaki tehditlere karşılık veriyor."
"Holding position","Mevziyi tutuyor"
"Rooted in place; it will not pursue.","Yerine çakılı; takibe geçmeyecek."
"Building","İnşa ediyor"
"Raising a structure on the marked site.","İşaretli alanda bir yapı yükseltiyor."
"Repairing","Onarıyor"
"Mending a damaged structure.","Hasarlı bir yapıyı onarıyor."
"Dismantling","Söküyor"
"Taking a structure apart.","Bir yapıyı parçalarına ayırıyor."
"Cutting timber","Kereste kesiyor"
"Felling a tree for wood.","Odun için ağaç deviriyor."
"Quarrying stone","Taş ocağında"
"Breaking a boulder for stone.","Taş için kaya kırıyor."
"Mining iron","Demir çıkarıyor"
"Working an ore deposit for iron.","Demir için cevher yatağı işliyor."
"Harvesting grain","Tahıl biçiyor"
"Reaping a ripe farm for food.","Yiyecek için olgunlaşmış tarlayı hasat ediyor."
"Butchering","Kesim yapıyor"
"Slaughtering a sheep for food.","Yiyecek için koyun kesiyor."
"Auto gathering","Otomatik topluyor"
"Standing order: seek out the nearest resource and keep collecting.","Sürekli emir: en yakın kaynağı bulup toplamayı sürdür."
"Delivering","Teslim ediyor"
"Carrying its load to the barracks; it cannot be interrupted until the load is dropped off.","Yükünü kışlaya taşıyor; yük bırakılana kadar bölünemez."
"Healing","İyileştiriyor"
"Tending wounded allies nearby.","Yakındaki yaralı müttefikleri tedavi ediyor."
"Training","Eğitiyor"
"Producing the next unit in the queue.","Sıradaki bir sonraki birimi üretiyor."
"Blocked","Engellendi"
"Waiting: the way is blocked or the target is gone.","Bekliyor: yol kapalı ya da hedef ortadan kalktı."
"Active","Etkin"
"Work is under way.","Çalışma sürüyor."
"Queued","Sırada"
"Ordered, but the unit is still on its way.","Emir verildi, ama birim hâlâ yolda."
"Unavailable","Kullanılamaz"
"The target cannot be worked; give a new order.","Hedef üzerinde çalışılamıyor; yeni bir emir ver."
"Interrupted","Yarıda kesildi"
"Work stopped part-way; re-issue the order to resume.","Çalışma yarıda kaldı; sürdürmek için emri yeniden ver."
"Cannot be interrupted","Bölünemez"
"Hauling a load to the barracks. New orders wait until the load is dropped off.","Kışlaya yük taşıyor. Yük bırakılana kadar yeni emirler bekler."
"%1 — %2","%1 — %2"
"%1 (%2 units)","%1 (%2 birim)"
"Automatic","Otomatik"
"%1 of %2 positions do not fit on this ground.","%1 / %2 mevzi bu zemine sığmıyor."
"Barracks production queue","Kışla üretim sırası"
"BARRACKS","KIŞLA"
"Reserve %1 / %2","Yedek %1 / %2"
"Recruiting now","Şimdi devşiriliyor"
"Queued unit %1","Sıradaki birim %1"
"Set where newly recruited units will gather","Yeni devşirilen birimlerin toplanacağı yeri belirle"
"Set barracks rally point","Kışla toplanma noktasını belirle"
"Select a barracks before setting a rally point","Toplanma noktası belirlemeden önce bir kışla seç"
"Manpower this barracks still holds. Every recruit spends some; civilians raised at a Home deliver more.","Bu kışlanın hâlâ elinde tuttuğu insan gücü. Her asker alımı bundan harcar; Evde yetiştirilen siviller daha fazlasını getirir."
"Return to Menu","Menüye Dön"
"Close Report","Raporu Kapat"
"Kills","Öldürülen"
"Losses","Kayıplar"
"Trained","Eğitilen"
"Barracks","Kışla"
"Held the Field","Meydanı Tuttu"
"Routed","Bozguna Uğradı"
"Score","Puan"
"YOUR COMMAND","KOMUTAN"
"ARMIES OF THE FIELD","MEYDANDAKİ ORDULAR"
